,Year,Month,Area,Mean_temp,Mean_chla
516,2003,1,SC,25.438,0.802
517,2003,2,SC,27.131,1.409
518,2003,3,SC,26.203,1.437
519,2003,4,SC,23.665,1.797
520,2003,5,SC,21.029,2.236
521,2003,6,SC,19.037,3.142
522,2003,7,SC,18.27,3.479
523,2003,8,SC,17.463,2.978
524,2003,9,SC,18.358,2.147
525,2003,10,SC,20.583,1.432
526,2003,11,SC,22.469,1.074
527,2003,12,SC,23.312,0.955
528,2004,1,SC,24.399,1.198
529,2004,2,SC,24.959,1.276
530,2004,3,SC,24.871,1.191
531,2004,4,SC,23.196,1.667
532,2004,5,SC,20.814,2.536
533,2004,6,SC,19.387,2.179
534,2004,7,SC,17.678,2.025
535,2004,8,SC,18.584,1.5
536,2004,9,SC,19.401,1.594
537,2004,10,SC,20.246,1.684
538,2004,11,SC,21.791,1.174
539,2004,12,SC,22.997,1.082
540,2005,1,SC,24.807,1.138
541,2005,2,SC,24.706,1.123
542,2005,3,SC,25.133,1.241
543,2005,4,SC,24.381,1.511
544,2005,5,SC,22.29,2.077
545,2005,6,SC,21.542,1.875
546,2005,7,SC,18.595,2.337
547,2005,8,SC,18.26,2.78
548,2005,9,SC,18.131,2.32
549,2005,10,SC,20.248,1.258
550,2005,11,SC,22.24,1.897
551,2005,12,SC,23.436,1.028
552,2006,1,SC,25.617,1.854
553,2006,2,SC,26.457,1.449
554,2006,3,SC,26.242,1.09
555,2006,4,SC,24.113,1.627
556,2006,5,SC,20.331,1.782
557,2006,6,SC,19.352,2.03
558,2006,7,SC,19.493,2.176
559,2006,8,SC,17.981,2.588
560,2006,9,SC,17.364,1.78
561,2006,10,SC,20.237,1.423
562,2006,11,SC,21.717,1.743
563,2006,12,SC,23.345,1.649
564,2007,1,SC,24.427,0.874
565,2007,2,SC,25.425,0.952
566,2007,3,SC,26.11,1.545
567,2007,4,SC,24.645,1.567
568,2007,5,SC,21.373,2.366
569,2007,6,SC,17.296,4.39
570,2007,7,SC,15.239,6.325
571,2007,8,SC,16.155,4.227
572,2007,9,SC,19.634,2.876
573,2007,10,SC,20.899,1.701
574,2007,11,SC,22.376,1.546
575,2007,12,SC,24.46,0.992
576,2008,1,SC,24.919,0.898
577,2008,2,SC,25.13,2.591
578,2008,3,SC,24.627,2.123
579,2008,4,SC,22.414,2.27
580,2008,5,SC,20.862,2.524
581,2008,6,SC,18.29,2.488
582,2008,7,SC,18.673,2.045
583,2008,8,SC,18.316,1.892
584,2008,9,SC,18.536,1.917
585,2008,10,SC,20.196,1.494
586,2008,11,SC,21.99,1.804
587,2008,12,SC,22.891,1.614
588,2009,1,SC,24.219,2.29
589,2009,2,SC,24.893,1.871
590,2009,3,SC,25.361,1.65
591,2009,4,SC,24.146,1.895
592,2009,5,SC,22.209,1.849
593,2009,6,SC,19.126,2.261
594,2009,7,SC,17.396,2.207
595,2009,8,SC,17.817,2.385
596,2009,9,SC,19.162,1.603
597,2009,10,SC,20.264,2.195
598,2009,11,SC,23.154,1.33
599,2009,12,SC,24.392,1.244
600,2010,1,SC,25.899,1.187
601,2010,2,SC,27.014,1.707
602,2010,3,SC,25.535,2.067
603,2010,4,SC,23.688,2.664
604,2010,5,SC,21.325,2.19
605,2010,6,SC,19.529,2.487
606,2010,7,SC,18.09,2.146
607,2010,8,SC,16.716,2.451
608,2010,9,SC,18.929,1.818
609,2010,10,SC,20.525,1.339
610,2010,11,SC,21.965,1.216
611,2010,12,SC,23.901,1.232
612,2011,1,SC,26.124,1.349
613,2011,2,SC,25.854,1.562
614,2011,3,SC,23.63,1.973
615,2011,4,SC,23.209,1.451
616,2011,5,SC,21.301,1.774
617,2011,6,SC,18.929,2.071
618,2011,7,SC,16.332,3.902
619,2011,8,SC,17.054,3.363
620,2011,9,SC,18.483,2.5
621,2011,10,SC,20.248,1.976
622,2011,11,SC,21.218,1.451
623,2011,12,SC,23.344,1.064
624,2012,1,SC,24.482,1.697
625,2012,2,SC,24.508,1.688
626,2012,3,SC,24.44,1.689
627,2012,4,SC,23.266,1.313
628,2012,5,SC,21.631,1.841
629,2012,6,SC,19.56,2.801
630,2012,7,SC,17.24,3.064
631,2012,8,SC,18.573,3.084
632,2012,9,SC,19.686,2.379
633,2012,10,SC,20.838,1.973
634,2012,11,SC,22.743,1.568
635,2012,12,SC,24.392,0.965
636,2013,1,SC,24.9,1.03
637,2013,2,SC,25.929,1.537
638,2013,3,SC,24.737,2.024
639,2013,4,SC,23.34,1.676
640,2013,5,SC,21.376,2.173
641,2013,6,SC,18.62,2.489
642,2013,7,SC,16.947,3.933
643,2013,8,SC,16.266,3.83
644,2013,9,SC,18.654,3.332
645,2013,10,SC,20.937,1.907
646,2013,11,SC,21.294,1.703
647,2013,12,SC,24.692,1.073
648,2014,1,SC,26.153,1.409
649,2014,2,SC,26.183,1.474
650,2014,3,SC,25.26,1.702
651,2014,4,SC,23.534,1.403
652,2014,5,SC,21.594,1.997
653,2014,6,SC,19.328,2.863
654,2014,7,SC,18.79,2.687
655,2014,8,SC,18.484,2.591
656,2014,9,SC,19.672,2.157
657,2014,10,SC,20.903,2.185
658,2014,11,SC,22.813,1.252
659,2014,12,SC,24.128,1.41
660,2015,1,SC,27.336,1.256
661,2015,2,SC,26.716,1.942
662,2015,3,SC,25.498,1.611
663,2015,4,SC,23.466,1.591
664,2015,5,SC,21.807,2.183
665,2015,6,SC,19.979,3.299
666,2015,7,SC,18.348,3.128
667,2015,8,SC,19.849,2.173
668,2015,9,SC,19.186,2.591
669,2015,10,SC,18.879,1.052
670,2015,11,SC,21.699,1.418
671,2015,12,SC,23.637,0.777
672,2016,1,SC,25.454,2.13
673,2016,2,SC,26.298,1.44
674,2016,3,SC,25.665,2.131
675,2016,4,SC,24.64,2.294
676,2016,5,SC,18.658,3.958
677,2016,6,SC,16.049,6.941
678,2016,7,SC,16.96,5.912
679,2016,8,SC,17.361,4.829
680,2016,9,SC,17.985,3.658
681,2016,10,SC,20.83,2.113
682,2016,11,SC,22.504,1.703
683,2016,12,SC,23.996,1.235
684,2017,1,SC,27.074,1.071
685,2017,2,SC,27.145,1.672
686,2017,3,SC,25.568,1.469
687,2017,4,SC,23.36,1.729
688,2017,5,SC,21.501,1.651
689,2017,6,SC,19.805,3.184
690,2017,7,SC,19.325,2.1
691,2017,8,SC,19.467,2.131
692,2017,9,SC,20.184,2.135
693,2017,10,SC,20.912,1.343
694,2017,11,SC,22.164,1.517
695,2017,12,SC,24.08,1.173
696,2018,1,SC,25.294,1.399
697,2018,2,SC,25.665,0.925
698,2018,3,SC,25.556,1.377
699,2018,4,SC,25.259,1.798
700,2018,5,SC,22.917,1.771
701,2018,6,SC,18.575,3.015
702,2018,7,SC,16.91,5.174
703,2018,8,SC,17.187,2.819
704,2018,9,SC,20.221,2.001
705,2018,10,SC,21.69,1.559
706,2018,11,SC,22.415,1.709
707,2018,12,SC,24.716,1.091
708,2019,1,SC,26.839,1.072
709,2019,2,SC,26.961,1.23
710,2019,3,SC,26.154,1.632
711,2019,4,SC,24.458,1.817
712,2019,5,SC,22.692,1.796
713,2019,6,SC,21.14,3.428
714,2019,7,SC,17.947,3.286
715,2019,8,SC,17.301,3.323
716,2019,9,SC,18.898,2.244
717,2019,10,SC,21.504,1.759
718,2019,11,SC,22.026,2.25
719,2019,12,SC,23.622,1.568
720,2020,1,SC,25.494,1.134
721,2020,2,SC,25.394,1.399
722,2020,3,SC,25.105,1.582
723,2020,4,SC,23.136,1.795
724,2020,5,SC,21.412,2.03
725,2020,6,SC,19.626,2.601
726,2020,7,SC,17.901,3.009
727,2020,8,SC,17.907,2.084
728,2020,9,SC,19.425,2.062
729,2020,10,SC,21.233,1.377
730,2020,11,SC,22.883,0.973
731,2020,12,SC,24.551,1.218
732,2021,1,SC,25.527,1.067
733,2021,2,SC,26.552,1.631
734,2021,3,SC,25.99,1.534
735,2021,4,SC,24.319,1.56
736,2021,5,SC,21.65,2.09
737,2021,6,SC,18.993,2.424
738,2021,7,SC,17.546,2.969
739,2021,8,SC,17.39,2.168
740,2021,9,SC,19.455,1.405
741,2021,10,SC,20.47,1.555
742,2021,11,SC,21.837,1.732
743,2021,12,SC,23.755,1.073
744,2022,1,SC,24.665,1.611
745,2022,2,SC,25.569,1.539
746,2022,3,SC,25.988,1.832
747,2022,4,SC,23.341,2.126
748,2022,5,SC,20.818,3.121
749,2022,6,SC,17.429,4.182
750,2022,7,SC,17.89,3.343
751,2022,8,SC,18.224,3.086
752,2022,9,SC,18.447,2.799
753,2022,10,SC,20.483,1.877
754,2022,11,SC,21.998,1.601
755,2022,12,SC,23.989,2.067
756,2023,1,SC,25.575,1.633
757,2023,2,SC,26.508,1.758
758,2023,3,SC,25.951,2.036
759,2023,4,SC,23.876,1.843
760,2023,5,SC,22.89,2.251
761,2023,6,SC,20.848,2.817
762,2023,7,SC,19.252,2.899
763,2023,8,SC,18.343,2.02
764,2023,9,SC,19.498,1.877
765,2002,7,APA,17.108,3.789
766,2002,8,APA,18.071,3.106
767,2002,9,APA,18.836,2.075
768,2002,10,APA,20.898,1.021
769,2002,11,APA,22.163,1.419
770,2002,12,APA,23.574,1.362
771,2003,1,APA,25.207,0.593
772,2003,2,APA,26.412,1.016
773,2003,3,APA,26.104,1.136
774,2003,4,APA,23.604,1.774
775,2003,5,APA,20.997,2.049
776,2003,6,APA,18.882,3.708
777,2003,7,APA,18.287,3.367
778,2003,8,APA,17.303,2.803
779,2003,9,APA,18.207,1.881
780,2003,10,APA,20.556,1.076
781,2003,11,APA,22.475,0.833
782,2003,12,APA,23.134,0.651
783,2004,1,APA,24.219,1.18
784,2004,2,APA,24.789,1.108
785,2004,3,APA,24.723,0.971
786,2004,4,APA,23.116,1.229
787,2004,5,APA,20.808,2.537
788,2004,6,APA,19.552,2.229
789,2004,7,APA,17.739,1.838
790,2004,8,APA,18.546,1.249
791,2004,9,APA,19.378,1.356
792,2004,10,APA,20.33,1.355
793,2004,11,APA,21.636,0.759
794,2004,12,APA,23.17,0.737
795,2005,1,APA,24.636,1.116
796,2005,2,APA,24.346,0.72
797,2005,3,APA,24.859,0.842
798,2005,4,APA,24.128,1.317
799,2005,5,APA,22.207,1.892
800,2005,6,APA,21.558,1.453
801,2005,7,APA,18.53,2.089
802,2005,8,APA,18.165,2.304
803,2005,9,APA,18.247,1.946
804,2005,10,APA,20.379,0.994
805,2005,11,APA,21.992,1.731
806,2005,12,APA,23.319,0.864
807,2006,1,APA,25.128,1.597
808,2006,2,APA,26.18,0.627
809,2006,3,APA,26.135,0.768
810,2006,4,APA,24.095,1.397
811,2006,5,APA,20.145,1.716
812,2006,6,APA,19.282,1.932
813,2006,7,APA,19.474,2.079
814,2006,8,APA,17.748,2.411
815,2006,9,APA,17.037,1.511
816,2006,10,APA,20.308,1.001
817,2006,11,APA,21.888,1.558
818,2006,12,APA,22.819,1.313
819,2007,1,APA,23.932,0.717
820,2007,2,APA,24.94,0.618
821,2007,3,APA,25.527,1.366
822,2007,4,APA,24.4,1.702
823,2007,5,APA,21.325,2.379
824,2007,6,APA,17.014,4.562
825,2007,7,APA,15.184,5.246
826,2007,8,APA,16.382,4.129
827,2007,9,APA,19.708,2.246
828,2007,10,APA,20.749,1.189
829,2007,11,APA,22.431,0.923
830,2007,12,APA,23.968,0.559
831,2008,1,APA,24.695,0.805
832,2008,2,APA,24.874,1.903
833,2008,3,APA,24.359,2.073
834,2008,4,APA,22.303,1.941
835,2008,5,APA,20.832,2.158
836,2008,6,APA,17.95,2.509
837,2008,7,APA,18.765,1.786
838,2008,8,APA,18.145,1.546
839,2008,9,APA,18.427,1.822
840,2008,10,APA,20.135,1.108
841,2008,11,APA,21.998,1.187
842,2008,12,APA,22.773,1.167
843,2009,1,APA,24.279,1.645
844,2009,2,APA,24.455,1.654
845,2009,3,APA,24.958,1.046
846,2009,4,APA,24.069,1.417
847,2009,5,APA,22.182,1.615
848,2009,6,APA,19.059,2.179
849,2009,7,APA,17.255,1.885
850,2009,8,APA,17.667,1.987
851,2009,9,APA,19.263,1.516
852,2009,10,APA,20.004,1.41
853,2009,11,APA,22.578,1.555
854,2009,12,APA,24.244,0.872
855,2010,1,APA,25.794,0.937
856,2010,2,APA,26.397,1.151
857,2010,3,APA,25.384,1.196
858,2010,4,APA,23.53,2.316
859,2010,5,APA,21.357,1.355
860,2010,6,APA,19.506,1.961
861,2010,7,APA,17.998,2.045
862,2010,8,APA,16.658,2.124
863,2010,9,APA,18.901,1.709
864,2010,10,APA,20.345,0.887
865,2010,11,APA,21.772,1.334
866,2010,12,APA,23.636,0.537
867,2011,1,APA,25.539,1.118
868,2011,2,APA,25.646,1.057
869,2011,3,APA,23.629,1.176
870,2011,4,APA,22.91,1.174
871,2011,5,APA,21.257,1.27
872,2011,6,APA,18.804,1.874
873,2011,7,APA,16.174,3.065
874,2011,8,APA,17.171,2.156
875,2011,9,APA,18.298,1.84
876,2011,10,APA,20.298,1.806
877,2011,11,APA,21.239,1.341
878,2011,12,APA,23.076,0.746
879,2012,1,APA,24.019,1.108
880,2012,2,APA,23.392,1.632
881,2012,3,APA,23.923,1.79
882,2012,4,APA,23.032,1.095
883,2012,5,APA,21.345,1.134
884,2012,6,APA,19.53,2.444
885,2012,7,APA,17.08,2.655
886,2012,8,APA,18.401,2.537
887,2012,9,APA,19.693,2.208
888,2012,10,APA,20.833,0.998
889,2012,11,APA,22.861,1.519
890,2012,12,APA,23.723,1.007
891,2013,1,APA,24.711,0.936
892,2013,2,APA,25.627,0.993
893,2013,3,APA,24.609,1.763
894,2013,4,APA,23.248,1.291
895,2013,5,APA,21.097,2.249
896,2013,6,APA,18.491,2.917
897,2013,7,APA,16.966,3.425
898,2013,8,APA,16.268,3.992
899,2013,9,APA,18.68,2.936
900,2013,10,APA,20.793,1.618
901,2013,11,APA,21.387,1.492
902,2013,12,APA,24.745,0.67
903,2014,1,APA,25.272,1.105
904,2014,2,APA,25.265,1.35
905,2014,3,APA,24.901,1.307
906,2014,4,APA,23.431,1.227
907,2014,5,APA,21.486,1.474
908,2014,6,APA,19.284,2.862
909,2014,7,APA,18.734,3.432
910,2014,8,APA,18.311,2.269
911,2014,9,APA,19.514,2.228
912,2014,10,APA,20.673,1.884
913,2014,11,APA,22.414,1.151
914,2014,12,APA,23.457,1.524
915,2015,1,APA,27.323,1.057
916,2015,2,APA,26.496,1.546
917,2015,3,APA,25.29,1.103
918,2015,4,APA,23.003,0.923
919,2015,5,APA,21.686,1.705
920,2015,6,APA,19.883,2.52
921,2015,7,APA,18.182,2.71
922,2015,8,APA,19.583,1.979
923,2015,9,APA,18.938,2.01
924,2015,10,APA,18.983,0.97
925,2015,11,APA,21.841,0.867
926,2015,12,APA,22.88,0.578
927,2016,1,APA,25.424,1.415
928,2016,2,APA,26.203,0.95
929,2016,3,APA,25.665,1.23
930,2016,4,APA,24.351,1.728
931,2016,5,APA,18.672,3.841
932,2016,6,APA,16.124,6.934
933,2016,7,APA,17.304,5.003
934,2016,8,APA,17.28,4.533
935,2016,9,APA,17.74,3.426
936,2016,10,APA,20.351,1.5
937,2016,11,APA,22.289,1.278
938,2016,12,APA,23.677,0.819
939,2017,1,APA,26.873,0.777
940,2017,2,APA,26.53,1.344
941,2017,3,APA,25.548,1.125
942,2017,4,APA,23.154,1.426
943,2017,5,APA,21.39,0.996
944,2017,6,APA,19.689,2.367
945,2017,7,APA,19.213,1.76
946,2017,8,APA,19.418,1.809
947,2017,9,APA,19.698,1.957
948,2017,10,APA,20.462,1.206
949,2017,11,APA,21.79,1.148
950,2017,12,APA,23.832,1.045
951,2018,1,APA,24.955,0.822
952,2018,2,APA,25.545,0.699
953,2018,3,APA,25.431,1.187
954,2018,4,APA,25.006,1.383
955,2018,5,APA,22.678,1.607
956,2018,6,APA,18.331,3.338
957,2018,7,APA,16.845,5.07
958,2018,8,APA,17.124,2.525
959,2018,9,APA,19.873,1.645
960,2018,10,APA,21.576,1.11
961,2018,11,APA,22.542,1.594
962,2018,12,APA,24.46,0.897
963,2019,1,APA,26.43,0.97
964,2019,2,APA,26.729,0.805
965,2019,3,APA,26.216,1.247
966,2019,4,APA,24.383,1.627
967,2019,5,APA,22.62,1.723
968,2019,6,APA,21.058,1.924
969,2019,7,APA,17.756,3.103
970,2019,8,APA,17.048,2.914
971,2019,9,APA,19.082,1.808
972,2019,10,APA,21.383,1.651
973,2019,11,APA,22.332,2.489
974,2019,12,APA,23.065,1.329
975,2020,1,APA,25.209,0.96
976,2020,2,APA,25.182,0.994
977,2020,3,APA,24.655,1.236
978,2020,4,APA,22.939,1.706
979,2020,5,APA,21.267,1.842
980,2020,6,APA,19.547,1.981
981,2020,7,APA,17.792,2.811
982,2020,8,APA,17.809,1.655
983,2020,9,APA,19.319,1.353
984,2020,10,APA,21.152,1.021
985,2020,11,APA,22.594,0.733
986,2020,12,APA,24.436,0.825
987,2021,1,APA,25.103,0.628
988,2021,2,APA,26.437,1.165
989,2021,3,APA,25.753,1.066
990,2021,4,APA,24.079,1.233
991,2021,5,APA,21.494,1.759
992,2021,6,APA,18.844,1.921
993,2021,7,APA,17.376,2.544
994,2021,8,APA,17.187,1.522
995,2021,9,APA,19.325,1.413
996,2021,10,APA,20.457,1.109
997,2021,11,APA,21.659,1.387
998,2021,12,APA,23.65,1.058
999,2022,1,APA,24.638,1.359
1000,2022,2,APA,25.365,1.467
1001,2022,3,APA,25.782,1.518
1002,2022,4,APA,23.271,1.791
1003,2022,5,APA,20.676,2.768
1004,2022,6,APA,17.279,3.251
1005,2022,7,APA,18.019,3.328
1006,2022,8,APA,18.162,2.408
1007,2022,9,APA,18.39,2.26
1008,2022,10,APA,20.475,1.22
1009,2022,11,APA,21.723,1.095
1010,2022,12,APA,23.736,1.324
1011,2023,1,APA,25.168,1.075
1012,2023,2,APA,26.286,0.952
1013,2023,3,APA,25.549,1.275
1014,2023,4,APA,23.715,1.283
1015,2023,5,APA,22.9,1.642
1016,2023,6,APA,20.795,2.241
1017,2023,7,APA,19.185,2.081
1018,2023,8,APA,18.214,1.774
1019,2023,9,APA,19.177,1.578
