,Year,Month,Area,Mean,Median,Minimum,Maximum,Q1,Q3,Lower Outliers,Upper Outliers
0,2002,7,SP,1.32,1.397,0.87,1.553,1.19,1.46,[],[]
1,2002,8,SP,1.76,1.668,1.417,2.272,1.56,1.932,[],[]
2,2002,9,SP,1.293,1.309,0.579,2.324,0.803,1.679,[],[]
3,2002,10,SP,0.848,0.642,0.454,1.007,0.49,0.93,[],[1.884]
4,2002,11,SP,1.245,1.137,0.216,2.315,0.917,1.697,[],[]
5,2002,12,SP,0.963,1.002,0.248,1.784,0.586,1.282,[],[]
6,2003,1,SP,1.026,1.006,0.335,1.637,0.649,1.455,[],[]
7,2003,2,SP,1.645,1.383,0.593,2.891,0.808,1.996,[],[4.306]
8,2003,3,SP,1.056,0.896,0.456,1.898,0.638,1.293,[],[2.31]
9,2003,4,SP,1.641,1.636,0.815,2.321,1.408,1.912,[],[]
10,2003,5,SP,1.581,1.5,1.151,2.171,1.21,1.915,[],[]
11,2003,6,SP,1.507,1.523,1.12,1.824,1.376,1.638,[],[]
12,2003,7,SP,1.854,1.89,1.247,2.345,1.54,2.107,[],[]
13,2003,8,SP,1.591,1.64,1.083,1.995,1.386,1.767,[],[]
14,2003,9,SP,1.364,1.378,0.707,1.821,1.18,1.528,[],[2.136]
15,2003,10,SP,1.259,1.012,0.658,1.908,0.943,1.697,[],[]
16,2003,11,SP,0.971,0.905,0.212,1.719,0.467,1.144,[],[2.593]
17,2003,12,SP,0.504,0.488,0.234,0.859,0.37,0.61,[],[]
18,2004,1,SP,0.905,0.692,0.374,1.099,0.595,0.94,[],[2.736]
19,2004,2,SP,1.606,1.587,0.531,3.143,0.952,2.092,[],[]
20,2004,3,SP,1.039,0.968,0.527,1.82,0.734,1.297,[],[]
21,2004,4,SP,1.427,1.3,0.548,2.327,1.036,1.868,[],[]
22,2004,5,SP,1.769,1.749,1.256,2.103,1.565,1.843,[],[2.368]
23,2004,6,SP,1.861,1.768,1.069,2.517,1.594,2.166,[],[]
24,2004,7,SP,1.695,1.683,1.087,2.213,1.367,2.041,[],[]
25,2004,8,SP,1.595,1.562,1.184,1.956,1.344,1.712,[],[2.425]
26,2004,9,SP,1.251,1.265,0.744,1.556,1.096,1.381,[],[1.835]
27,2004,10,SP,0.752,0.735,0.18,1.485,0.357,1.01,[],[]
28,2004,11,SP,1.154,1.22,0.951,1.356,0.987,1.268,[],[]
29,2004,12,SP,2.011,1.124,0.312,3.542,0.854,2.656,[],[7.387]
30,2005,1,SP,1.385,1.227,0.478,2.812,0.607,1.642,[],[]
31,2005,2,SP,1.244,1.132,0.418,2.555,0.683,1.608,[],[]
32,2005,3,SP,0.853,0.854,0.428,1.016,0.639,0.962,[],[1.751]
33,2005,4,SP,1.364,1.343,0.758,1.905,0.927,1.878,[],[]
34,2005,5,SP,1.635,1.645,0.489,2.536,1.247,2.148,[],[]
35,2005,6,SP,1.541,1.334,1.037,1.944,1.241,1.703,[],[2.842]
36,2005,7,SP,1.484,1.375,0.924,2.494,1.129,1.693,[],[]
37,2005,8,SP,1.399,1.261,0.954,2.047,1.119,1.51,[],[2.153]
38,2005,9,SP,1.603,0.915,0.479,1.945,0.815,1.286,[],[7.158]
39,2005,10,SP,0.694,0.531,0.45,1.181,0.499,0.849,[],[]
40,2005,11,SP,1.469,1.215,0.54,2.994,0.96,1.946,[],[]
41,2005,12,SP,0.78,0.878,0.327,1.206,0.609,0.915,[],[]
42,2006,1,SP,0.834,0.839,0.451,0.936,0.69,0.894,[0.323],[1.723]
43,2006,2,SP,1.62,1.314,0.376,3.345,0.748,2.0,[],[4.261]
44,2006,3,SP,1.343,1.196,0.537,2.379,0.966,1.672,[],[]
45,2006,4,SP,2.341,2.353,1.58,2.948,1.96,2.496,[0.803],[4.424]
46,2006,5,SP,1.992,1.941,1.141,2.933,1.493,2.304,[],[]
47,2006,6,SP,1.908,1.855,1.536,2.434,1.632,2.154,[],[]
48,2006,7,SP,1.512,1.524,1.183,1.891,1.197,1.772,[],[]
49,2006,8,SP,1.508,1.5,0.94,2.105,1.254,1.684,[],[]
50,2006,9,SP,1.455,1.507,0.934,1.897,1.288,1.561,[],[]
51,2006,10,SP,1.039,1.121,0.211,1.711,0.778,1.449,[],[]
52,2006,11,SP,0.89,0.707,0.427,1.705,0.527,1.19,[],[]
53,2006,12,SP,0.616,0.567,0.3,1.138,0.437,0.725,[],[]
54,2007,1,SP,0.887,1.073,0.363,1.388,0.553,1.188,[],[]
55,2007,2,SP,1.21,1.111,0.55,2.191,0.9,1.538,[],[]
56,2007,3,SP,1.004,1.008,0.59,1.728,0.634,1.225,[],[]
57,2007,4,SP,1.08,1.01,0.918,1.255,0.988,1.177,[0.665],[1.546]
58,2007,5,SP,1.75,1.692,1.307,2.431,1.51,1.944,[],[]
59,2007,6,SP,1.646,1.485,1.231,2.264,1.348,1.991,[],[]
60,2007,7,SP,2.243,1.942,1.089,4.283,1.53,2.842,[],[]
61,2007,8,SP,3.675,3.193,2.003,3.554,2.342,3.554,[],"[6.956, 6.977]"
62,2007,9,SP,1.238,1.08,0.358,2.241,0.979,1.5,[],[]
63,2007,10,SP,1.088,1.112,0.777,1.281,0.969,1.219,[0.511],[1.74]
64,2007,11,SP,0.735,0.677,0.334,1.172,0.518,0.911,[],[]
65,2007,12,SP,0.704,0.582,0.251,1.186,0.347,1.071,[],[]
66,2008,1,SP,0.804,0.659,0.292,1.627,0.53,1.119,[],[]
67,2008,2,SP,1.602,1.733,0.399,2.703,1.023,2.082,[],[]
68,2008,3,SP,1.451,1.367,0.768,2.588,1.067,1.779,[],[]
69,2008,4,SP,1.74,1.674,0.552,2.597,1.328,2.046,[],[3.503]
70,2008,5,SP,2.406,1.964,1.663,3.758,1.803,3.13,[],[]
71,2008,6,SP,2.207,2.013,1.213,2.957,1.775,2.299,[],[4.354]
72,2008,7,SP,1.288,1.213,0.914,1.827,1.068,1.455,[],[]
73,2008,8,SP,1.798,1.76,1.154,2.792,1.305,2.057,[],[]
74,2008,9,SP,0.998,1.001,0.647,1.388,0.853,1.129,[],[]
75,2008,10,SP,1.107,1.059,0.919,1.609,0.97,1.502,[0.156],[]
76,2008,11,SP,1.372,1.271,0.193,1.864,0.916,1.464,[],[3.554]
77,2008,12,SP,1.088,1.071,0.558,1.471,0.91,1.376,[],[]
78,2009,1,SP,1.085,0.929,0.593,1.812,0.78,1.401,[],[]
79,2009,2,SP,1.656,1.121,0.374,3.453,0.667,2.164,[],[4.988]
80,2009,3,SP,1.967,1.603,0.509,3.799,1.133,2.715,[],[]
81,2009,4,SP,1.655,1.666,1.36,1.922,1.525,1.761,[],[]
82,2009,5,SP,1.619,1.757,1.173,2.168,1.405,1.828,[0.704],[]
83,2009,6,SP,1.38,1.394,0.866,2.093,1.075,1.483,[],[]
84,2009,7,SP,2.139,1.512,1.13,3.439,1.477,2.764,[],[4.969]
85,2009,8,SP,2.559,2.245,1.301,4.928,1.897,3.14,[],[]
86,2009,9,SP,1.804,1.942,0.52,3.22,0.989,2.272,[],[]
87,2009,10,SP,1.636,1.511,0.478,2.957,1.111,2.145,[],[]
88,2009,11,SP,1.688,1.048,0.361,4.575,0.642,2.465,[],[]
89,2009,12,SP,0.75,0.352,0.164,1.789,0.217,0.933,[],[2.844]
90,2010,1,SP,1.567,1.581,0.309,3.07,0.635,2.218,[],[]
91,2010,2,SP,1.7,1.338,0.204,3.112,0.892,2.008,[],"[3.934, 4.096]"
92,2010,3,SP,1.5,1.122,0.758,3.062,0.951,2.001,[],[]
93,2010,4,SP,2.512,2.489,1.3,3.769,1.9,2.998,[],[]
94,2010,5,SP,1.78,1.862,0.903,2.306,1.559,2.024,[],[]
95,2010,6,SP,1.968,1.88,1.392,2.375,1.757,2.184,[],[2.977]
96,2010,7,SP,1.635,1.524,1.049,2.39,1.34,1.877,[],[]
97,2010,8,SP,2.467,2.018,1.016,2.863,1.683,2.75,[],[7.48]
98,2010,9,SP,0.96,0.699,0.336,2.05,0.552,1.5,[],[]
99,2010,10,SP,0.929,0.957,0.456,1.277,0.757,1.082,[],[]
100,2010,11,SP,0.666,0.636,0.284,1.175,0.536,0.84,[],[]
101,2010,12,SP,1.156,1.111,0.176,2.15,0.521,1.778,[],[]
102,2011,1,SP,1.133,1.09,0.487,2.501,0.647,1.45,[],[]
103,2011,2,SP,1.289,1.095,0.498,2.241,0.773,1.781,[],[]
104,2011,3,SP,1.43,1.336,0.933,1.649,1.221,1.458,[0.734],"[2.142, 2.662]"
105,2011,4,SP,1.904,1.986,1.032,2.162,1.242,2.121,[],[3.913]
106,2011,5,SP,1.468,1.41,0.841,2.025,1.229,1.648,[],[2.284]
107,2011,6,SP,1.659,1.683,1.173,2.149,1.373,1.968,[],[]
108,2011,7,SP,1.66,1.679,1.281,1.967,1.535,1.825,[],[]
109,2011,8,SP,1.999,1.926,1.477,2.822,1.678,2.204,[],[]
110,2011,9,SP,1.487,1.408,1.119,2.009,1.36,1.695,[0.735],[]
111,2011,10,SP,1.56,1.403,0.94,2.652,1.308,1.852,[],[]
112,2011,11,SP,0.991,1.066,0.603,1.227,0.913,1.139,[0.239],[1.527]
113,2011,12,SP,0.824,0.681,0.483,1.199,0.616,0.955,[],[1.603]
114,2012,1,SP,0.927,0.932,0.327,1.475,0.719,1.163,[],[]
115,2012,2,SP,1.224,1.126,0.826,1.738,1.057,1.423,[],[]
116,2012,3,SP,1.214,1.205,0.545,1.72,0.878,1.542,[],[]
117,2012,4,SP,1.11,0.954,0.765,1.59,0.868,1.262,[],[2.002]
118,2012,5,SP,1.783,1.684,1.217,2.652,1.391,1.946,[],[]
119,2012,6,SP,2.823,2.555,1.507,3.979,1.809,3.435,[],[6.004]
120,2012,7,SP,2.785,2.495,1.512,3.962,2.099,3.057,[],[5.679]
121,2012,8,SP,1.6,1.497,1.181,2.123,1.301,1.931,[],[]
122,2012,9,SP,1.296,1.249,0.679,2.128,0.776,1.78,[],[]
123,2012,10,SP,1.017,0.995,0.354,1.867,0.733,1.204,[],[]
124,2012,11,SP,0.976,0.946,0.22,1.727,0.647,1.288,[],[]
125,2012,12,SP,0.608,0.594,0.224,1.108,0.318,0.849,[],[]
126,2013,1,SP,0.89,0.67,0.194,1.746,0.455,1.621,[],[]
127,2013,2,SP,0.965,0.962,0.595,1.263,0.747,1.178,[],[]
128,2013,3,SP,1.074,1.049,0.41,1.783,0.779,1.281,[],[]
129,2013,4,SP,1.341,1.41,1.111,1.468,1.232,1.438,[0.847],[1.778]
130,2013,5,SP,1.314,1.283,0.752,1.878,1.166,1.631,[0.43],[]
131,2013,6,SP,1.457,1.383,1.143,1.789,1.236,1.528,[],[2.261]
132,2013,7,SP,2.674,2.371,1.099,5.059,1.866,3.335,[],[]
133,2013,8,SP,2.082,2.018,1.753,2.285,1.89,2.159,[],"[2.611, 2.57]"
134,2013,9,SP,1.633,1.584,1.104,1.794,1.463,1.711,[],"[2.464, 2.114]"
135,2013,10,SP,1.039,0.685,0.453,1.891,0.602,1.22,[],[2.168]
136,2013,11,SP,1.418,1.332,0.653,2.386,1.168,1.657,[],[]
137,2013,12,SP,1.218,1.16,0.61,1.727,1.005,1.51,[],[]
138,2014,1,SP,1.403,1.227,0.91,1.55,1.104,1.437,[],[3.322]
139,2014,2,SP,2.21,2.006,1.04,3.025,1.746,2.499,[],[4.482]
140,2014,3,SP,1.829,1.605,1.041,2.581,1.354,2.046,[],[3.584]
141,2014,4,SP,1.874,1.898,1.132,2.917,1.355,2.03,[],[]
142,2014,5,SP,1.754,1.64,1.409,2.454,1.504,1.935,[],[]
143,2014,6,SP,2.517,2.317,1.415,4.239,1.81,2.799,[],[]
144,2014,7,SP,1.885,1.763,1.564,2.851,1.642,2.164,[0.591],[]
145,2014,8,SP,1.64,1.586,1.097,2.597,1.237,1.864,[],[]
146,2014,9,SP,1.211,1.256,1.001,1.661,1.122,1.367,"[0.754, 0.579]",[]
147,2014,10,SP,0.912,0.915,0.166,1.811,0.419,1.346,[],[]
148,2014,11,SP,0.668,0.674,0.223,1.363,0.443,0.856,[],[]
149,2014,12,SP,0.8,0.855,0.254,1.226,0.633,1.009,[],[]
150,2015,1,SP,0.848,0.798,0.216,1.223,0.63,1.015,[],[1.874]
151,2015,2,SP,1.317,1.572,0.309,2.09,0.878,1.799,[],[]
152,2015,3,SP,1.808,1.616,0.466,4.1,0.953,2.277,[],[]
153,2015,4,SP,1.502,1.208,0.903,2.379,1.023,1.973,[],[]
154,2015,5,SP,1.66,1.716,0.821,2.607,1.28,1.905,[],[]
155,2015,6,SP,1.971,1.947,1.475,2.355,1.812,2.107,[],[2.678]
156,2015,7,SP,1.764,1.83,1.5,2.214,1.615,1.944,[1.006],[]
157,2015,8,SP,1.284,1.367,0.961,1.602,1.174,1.444,[0.767],[]
158,2015,9,SP,1.506,1.476,0.508,1.94,1.016,1.771,[],[3.479]
159,2015,10,SP,1.003,0.906,0.512,1.074,0.766,1.056,[],[1.866]
160,2015,11,SP,0.794,0.495,0.381,0.621,0.457,0.621,[],"[0.869, 2.676]"
161,2015,12,SP,1.166,0.951,0.208,1.834,0.691,1.225,[],[3.721]
162,2016,1,SP,1.969,1.699,0.231,3.873,0.806,3.465,[],[]
163,2016,2,SP,1.515,1.577,0.568,2.421,0.992,2.128,[],[]
164,2016,3,SP,1.615,1.35,0.695,2.996,1.217,2.102,[],[]
165,2016,4,SP,1.455,1.461,1.11,1.764,1.293,1.645,[],[]
166,2016,5,SP,1.408,1.359,1.151,1.759,1.227,1.55,[],[]
167,2016,6,SP,3.048,2.405,0.992,5.205,2.05,3.61,[],[6.81]
168,2016,7,SP,4.043,4.082,2.502,5.474,3.155,4.999,[],[]
169,2016,8,SP,3.217,3.085,2.305,4.107,2.839,3.668,[],[]
170,2016,9,SP,1.694,1.744,0.43,3.13,0.8,2.312,[],[]
171,2016,10,SP,1.447,1.412,0.344,2.624,1.05,1.83,[],[]
172,2016,11,SP,1.123,1.196,0.343,1.838,0.772,1.419,[],[]
173,2016,12,SP,0.905,0.97,0.373,1.847,0.461,1.111,[],[]
174,2017,1,SP,1.125,0.804,0.289,1.47,0.714,1.222,[],[3.876]
175,2017,2,SP,1.653,1.515,0.587,2.788,1.031,2.327,[],[]
176,2017,3,SP,1.596,1.522,0.912,2.174,1.261,2.01,[],[]
177,2017,4,SP,1.41,1.288,0.903,2.055,1.036,1.731,[],[]
178,2017,5,SP,1.593,1.596,0.914,2.364,1.29,1.943,[],[]
179,2017,6,SP,2.002,2.091,1.382,3.12,1.602,2.251,[],[]
180,2017,7,SP,1.591,1.55,1.115,2.001,1.431,1.758,[],[]
181,2017,8,SP,2.028,2.008,1.495,2.733,1.704,2.32,[],[]
182,2017,9,SP,1.246,1.194,0.725,1.53,1.046,1.367,[],[2.293]
183,2017,10,SP,1.16,1.245,0.384,1.347,0.877,1.324,[],[2.103]
184,2017,11,SP,1.145,1.124,0.816,1.491,0.996,1.291,[],[]
185,2017,12,SP,0.621,0.578,0.168,1.162,0.497,0.787,[],[]
186,2018,1,SP,1.222,1.199,0.221,2.356,0.73,1.712,[],[]
187,2018,2,SP,1.301,1.228,0.27,2.809,0.556,1.63,[],[]
188,2018,3,SP,1.577,1.501,0.706,2.075,1.276,1.812,[],[2.722]
189,2018,4,SP,1.458,1.559,0.701,2.098,1.166,1.804,[],[]
190,2018,5,SP,1.417,1.385,0.721,1.683,1.195,1.571,[],[2.492]
191,2018,6,SP,1.489,1.467,0.21,2.798,1.091,1.778,[],[]
192,2018,7,SP,1.681,1.576,1.311,1.945,1.412,1.777,[],[2.852]
193,2018,8,SP,1.577,1.553,1.238,1.915,1.482,1.682,[1.078],[2.146]
194,2018,9,SP,1.077,1.1,0.637,1.344,0.819,1.225,[],[1.853]
195,2018,10,SP,0.886,0.827,0.492,1.274,0.715,1.089,[],[]
196,2018,11,SP,1.051,0.874,0.205,1.765,0.517,1.176,[],[3.138]
197,2018,12,SP,1.005,1.121,0.273,1.713,0.444,1.42,[],[]
198,2019,1,SP,1.251,0.994,0.437,1.97,0.592,1.454,[],[3.887]
199,2019,2,SP,1.861,1.753,0.773,3.676,1.286,2.35,[],[]
200,2019,3,SP,2.107,1.993,0.864,3.882,1.194,2.784,[],[]
201,2019,4,SP,1.964,1.973,1.552,2.212,1.901,2.152,[1.098],[2.739]
202,2019,5,SP,1.886,1.904,0.906,2.94,1.425,2.337,[],[]
203,2019,6,SP,4.208,4.0,1.911,7.751,2.565,5.763,[],[]
204,2019,7,SP,2.325,2.211,1.562,2.913,2.007,2.566,[],[3.521]
205,2019,8,SP,1.793,1.845,1.329,2.43,1.613,2.109,[0.821],[]
206,2019,9,SP,1.838,1.573,0.782,2.539,1.362,1.976,[],"[3.665, 3.087]"
207,2019,10,SP,1.248,1.294,0.527,1.905,0.846,1.609,[],[]
208,2019,11,SP,0.938,0.975,0.251,1.517,0.775,1.191,[],[]
209,2019,12,SP,0.854,0.867,0.32,1.447,0.537,1.152,[],[]
210,2020,1,SP,0.771,0.651,0.159,1.455,0.399,1.222,[],[]
211,2020,2,SP,0.95,0.897,0.464,1.279,0.766,1.093,[0.16],[2.068]
212,2020,3,SP,1.456,1.216,0.582,2.736,0.966,1.72,[],[2.867]
213,2020,4,SP,1.141,1.087,0.641,1.604,0.998,1.358,[],[]
214,2020,5,SP,1.399,1.427,0.93,1.562,1.254,1.489,[],[1.925]
215,2020,6,SP,1.458,1.593,0.946,2.22,1.243,1.711,[0.439],[]
216,2020,7,SP,1.82,1.826,1.218,2.063,1.531,1.979,[],[2.908]
217,2020,8,SP,1.404,1.327,0.191,2.498,0.846,1.739,[],[3.325]
218,2020,9,SP,1.148,1.119,0.291,2.167,0.781,1.516,[],[]
219,2020,10,SP,0.987,0.991,0.369,1.21,0.792,1.126,[],[1.886]
220,2020,11,SP,0.797,0.791,0.405,1.253,0.733,0.959,[0.344],[]
221,2020,12,SP,0.663,0.494,0.268,1.302,0.374,1.037,[],[]
222,2021,1,SP,1.067,0.662,0.259,2.107,0.341,1.311,[],"[3.041, 2.87]"
223,2021,2,SP,1.285,1.193,0.506,2.276,0.796,1.688,[],[]
224,2021,3,SP,2.015,1.757,0.698,3.63,1.11,2.739,[],[]
225,2021,4,SP,1.349,1.226,0.853,1.983,0.928,1.777,[],[]
226,2021,5,SP,1.587,1.605,1.071,2.179,1.312,1.845,[],[]
227,2021,6,SP,1.49,1.459,0.771,2.063,1.279,1.634,[],[2.441]
228,2021,7,SP,1.621,1.648,1.22,2.101,1.296,1.889,[],[]
229,2021,8,SP,1.612,1.525,1.119,2.524,1.254,1.852,[],[]
230,2021,9,SP,0.703,0.389,0.198,1.527,0.259,1.083,[],[]
231,2021,10,SP,1.275,1.463,0.532,2.349,0.716,1.684,[],[]
232,2021,11,SP,1.256,1.209,0.714,1.672,1.058,1.443,[],[2.073]
233,2021,12,SP,0.869,0.953,0.379,1.439,0.64,1.047,[],[]
234,2022,1,SP,1.075,0.831,0.509,1.666,0.723,1.134,[],[3.235]
235,2022,2,SP,0.981,0.891,0.661,1.259,0.825,1.114,[],[1.592]
236,2022,3,SP,1.487,1.337,0.627,2.608,0.964,1.976,[],[]
237,2022,4,SP,2.331,2.049,1.764,3.163,1.944,2.799,[],[]
238,2022,5,SP,1.82,1.927,0.927,2.361,1.599,2.048,[],[]
239,2022,6,SP,2.364,2.5,1.512,3.119,2.238,2.843,[0.671],[]
240,2022,7,SP,1.429,1.267,0.971,2.176,1.19,1.774,[],[]
241,2022,8,SP,2.201,1.846,1.171,2.523,1.55,2.469,[],"[4.02, 4.538]"
242,2022,9,SP,1.188,1.267,0.392,1.838,0.758,1.606,[],[]
243,2022,10,SP,1.206,1.07,0.761,1.946,0.865,1.542,[],[]
244,2022,11,SP,1.132,1.259,0.574,1.611,0.852,1.42,[],[]
245,2022,12,SP,1.053,0.949,0.357,2.28,0.62,1.352,[],[]
246,2023,1,SP,0.814,0.788,0.331,1.062,0.542,0.919,[],[1.738]
247,2023,2,SP,1.289,1.051,0.375,2.122,0.734,1.59,[],[3.012]
248,2023,3,SP,1.445,1.278,0.434,2.595,0.954,1.616,[],[3.556]
249,2023,4,SP,1.67,1.689,0.974,2.447,1.426,1.99,[],[]
250,2023,5,SP,1.463,1.484,0.647,2.388,1.168,1.703,[],[]
251,2023,6,SP,1.759,1.73,0.844,2.8,1.384,1.962,[],[]
252,2023,7,SP,1.422,1.401,1.054,1.512,1.266,1.49,[],"[1.944, 1.834]"
